t=2026-02-15T21:35:52+0530 lvl=info msg="no configuration paths supplied"
t=2026-02-15T21:35:52+0530 lvl=info msg="using configuration at default config path" path=/home/siddhartha/.config/ngrok/ngrok.yml
t=2026-02-15T21:35:52+0530 lvl=info msg="open config file" path=/home/siddhartha/.config/ngrok/ngrok.yml err=nil
t=2026-02-15T21:35:52+0530 lvl=info msg="FIPS 140 mode" enabled=false
t=2026-02-15T21:35:52+0530 lvl=info msg="starting web service" obj=web addr=127.0.0.1:4040 allow_hosts=[]
t=2026-02-15T21:35:53+0530 lvl=info msg="client session established" obj=tunnels.session
t=2026-02-15T21:35:53+0530 lvl=info msg="tunnel session started" obj=tunnels.session
t=2026-02-15T21:37:30+0530 lvl=info msg="join connections" obj=join id=ec749f6e5801 l=127.0.0.1:3000 r=43.225.25.134:51922
t=2026-02-15T21:37:30+0530 lvl=info msg="join connections" obj=join id=17ffc183d3ae l=127.0.0.1:3000 r=43.225.25.134:51922
t=2026-02-15T21:37:30+0530 lvl=info msg="join connections" obj=join id=bfc8ad4c8c19 l=127.0.0.1:3000 r=43.225.25.134:51922
t=2026-02-15T21:37:30+0530 lvl=info msg="join connections" obj=join id=4472e72cca96 l=127.0.0.1:3000 r=43.225.25.134:51922
t=2026-02-15T21:37:30+0530 lvl=info msg="join connections" obj=join id=76cab6bf47a8 l=127.0.0.1:3000 r=43.225.25.134:51922
t=2026-02-15T21:37:30+0530 lvl=info msg="join connections" obj=join id=e49e9f64f05c l=127.0.0.1:3000 r=43.225.25.134:51922
t=2026-02-15T21:37:30+0530 lvl=info msg="join connections" obj=join id=e11a30b0746f l=127.0.0.1:3000 r=43.225.25.134:51922
t=2026-02-15T21:37:30+0530 lvl=info msg="join connections" obj=join id=439738badffe l=127.0.0.1:3000 r=43.225.25.134:51922
t=2026-02-15T21:37:30+0530 lvl=info msg="join connections" obj=join id=cb6561ebb783 l=127.0.0.1:3000 r=43.225.25.134:51922
t=2026-02-15T21:37:30+0530 lvl=info msg="join connections" obj=join id=b54b9848a368 l=127.0.0.1:3000 r=43.225.25.134:51922
t=2026-02-15T21:37:30+0530 lvl=info msg="join connections" obj=join id=5f7deea5d787 l=127.0.0.1:3000 r=43.225.25.134:51922
t=2026-02-15T21:37:30+0530 lvl=info msg="join connections" obj=join id=099267339cdf l=127.0.0.1:3000 r=43.225.25.134:51922
t=2026-02-15T21:37:30+0530 lvl=info msg="join connections" obj=join id=3ccd9c746fa7 l=127.0.0.1:3000 r=43.225.25.134:51922
t=2026-02-15T21:37:30+0530 lvl=info msg="join connections" obj=join id=499cbbcba574 l=127.0.0.1:3000 r=43.225.25.134:51922
t=2026-02-15T21:37:30+0530 lvl=info msg="join connections" obj=join id=b08cc2833a27 l=127.0.0.1:3000 r=43.225.25.134:51922
t=2026-02-15T21:37:30+0530 lvl=info msg="join connections" obj=join id=4d0bcaf5e8a9 l=127.0.0.1:3000 r=43.225.25.134:51922
t=2026-02-15T21:37:30+0530 lvl=info msg="join connections" obj=join id=a8a1d3ace617 l=127.0.0.1:3000 r=43.225.25.134:51922
t=2026-02-15T21:37:30+0530 lvl=info msg="join connections" obj=join id=316157c30a83 l=127.0.0.1:3000 r=43.225.25.134:51922
t=2026-02-15T21:37:30+0530 lvl=info msg="join connections" obj=join id=6789f81b3aa2 l=127.0.0.1:3000 r=43.225.25.134:51922
t=2026-02-15T21:37:30+0530 lvl=info msg="join connections" obj=join id=af21dda03904 l=127.0.0.1:3000 r=43.225.25.134:51922
t=2026-02-15T21:37:33+0530 lvl=info msg="join connections" obj=join id=70335f82aeca l=127.0.0.1:3000 r=43.225.25.134:63263
t=2026-02-15T21:38:12+0530 lvl=info msg="join connections" obj=join id=a45db5cf8375 l=127.0.0.1:3000 r=43.225.25.134:51922
t=2026-02-15T21:38:13+0530 lvl=info msg="join connections" obj=join id=74dcf77ecd34 l=127.0.0.1:3000 r=43.225.25.134:51922
t=2026-02-15T21:38:13+0530 lvl=info msg="join connections" obj=join id=402ee98e4bc6 l=127.0.0.1:3000 r=43.225.25.134:51922
t=2026-02-15T21:38:13+0530 lvl=info msg="join connections" obj=join id=275e75c91c5c l=127.0.0.1:3000 r=43.225.25.134:51922
t=2026-02-15T21:38:13+0530 lvl=info msg="join connections" obj=join id=b426aefea51a l=127.0.0.1:3000 r=43.225.25.134:51922
t=2026-02-15T21:38:13+0530 lvl=info msg="join connections" obj=join id=c482fee78a8b l=127.0.0.1:3000 r=43.225.25.134:51922
t=2026-02-15T21:39:08+0530 lvl=info msg="join connections" obj=join id=8ec2f1e89a91 l=127.0.0.1:3000 r=43.225.25.134:51922
t=2026-02-15T21:39:08+0530 lvl=info msg="join connections" obj=join id=fbb1352cb2e8 l=127.0.0.1:3000 r=43.225.25.134:51922
t=2026-02-15T21:39:08+0530 lvl=info msg="join connections" obj=join id=e5d46efc98e3 l=127.0.0.1:3000 r=43.225.25.134:51922
t=2026-02-15T21:39:08+0530 lvl=info msg="join connections" obj=join id=cb771d074650 l=127.0.0.1:3000 r=43.225.25.134:51922
t=2026-02-15T21:39:35+0530 lvl=info msg="join connections" obj=join id=ab649c6330e2 l=127.0.0.1:3000 r=43.225.25.134:51922
t=2026-02-15T21:39:35+0530 lvl=info msg="join connections" obj=join id=d6a0ff4b5ce6 l=127.0.0.1:3000 r=43.225.25.134:51922
t=2026-02-15T21:39:43+0530 lvl=info msg="join connections" obj=join id=5ad506099746 l=127.0.0.1:3000 r=43.225.25.134:60076
t=2026-02-15T21:39:43+0530 lvl=info msg="join connections" obj=join id=5e1b8c390d49 l=127.0.0.1:3000 r=43.225.25.134:60076
t=2026-02-15T21:39:43+0530 lvl=info msg="join connections" obj=join id=8df0e80645b4 l=127.0.0.1:3000 r=43.225.25.134:60076
t=2026-02-15T21:39:44+0530 lvl=info msg="join connections" obj=join id=5788b3b2c710 l=127.0.0.1:3000 r=43.225.25.134:60076
t=2026-02-15T21:39:54+0530 lvl=info msg="join connections" obj=join id=f31327ceee2e l=127.0.0.1:3000 r=[2409:40f0:6414:828f:ae6b:2157:3b44:667a]:49802
t=2026-02-15T21:39:54+0530 lvl=info msg="join connections" obj=join id=8d98d03dcc5e l=127.0.0.1:3000 r=[2409:40f0:6414:828f:ae6b:2157:3b44:667a]:49802
t=2026-02-15T21:39:54+0530 lvl=info msg="join connections" obj=join id=eb26f4d33665 l=127.0.0.1:3000 r=[2409:40f0:6414:828f:ae6b:2157:3b44:667a]:49802
t=2026-02-15T21:39:55+0530 lvl=info msg="join connections" obj=join id=211554bbbf94 l=127.0.0.1:3000 r=[2409:40f0:6414:828f:ae6b:2157:3b44:667a]:49802
t=2026-02-15T21:39:55+0530 lvl=info msg="join connections" obj=join id=7d20d67364f4 l=127.0.0.1:3000 r=[2409:40f0:6414:828f:ae6b:2157:3b44:667a]:49802
t=2026-02-15T21:39:55+0530 lvl=info msg="join connections" obj=join id=4535a38eb322 l=127.0.0.1:3000 r=[2409:40f0:6414:828f:ae6b:2157:3b44:667a]:49802
t=2026-02-15T21:39:56+0530 lvl=info msg="join connections" obj=join id=63f01246cf4b l=127.0.0.1:3000 r=[2409:40f0:6414:828f:ae6b:2157:3b44:667a]:49802
t=2026-02-15T21:40:00+0530 lvl=info msg="join connections" obj=join id=1afb3d47e18f l=127.0.0.1:3000 r=43.225.25.134:60076
t=2026-02-15T21:40:02+0530 lvl=info msg="join connections" obj=join id=41c9a24d1a23 l=127.0.0.1:3000 r=[2409:40f0:6414:828f:ae6b:2157:3b44:667a]:49802
t=2026-02-15T21:40:02+0530 lvl=info msg="join connections" obj=join id=5edc18cdcb8c l=127.0.0.1:3000 r=[2409:40f0:6414:828f:ae6b:2157:3b44:667a]:49802
t=2026-02-15T21:40:03+0530 lvl=info msg="join connections" obj=join id=d00c4fa6865c l=127.0.0.1:3000 r=[2409:40f0:6414:828f:ae6b:2157:3b44:667a]:49802
t=2026-02-15T21:40:07+0530 lvl=info msg="join connections" obj=join id=358254222a1c l=127.0.0.1:3000 r=[2409:40f0:6414:828f:ae6b:2157:3b44:667a]:49802
t=2026-02-15T21:40:07+0530 lvl=info msg="join connections" obj=join id=e73a3ae9e5c6 l=127.0.0.1:3000 r=43.225.25.134:60076
